codigo_postal,nombre_del_lugar_del_código_postal,comunidad_autónoma,provincia
28818,Santorcaz,Comunidad de Madrid,Comunidad de Madrid
28821,Coslada,Comunidad de Madrid,Comunidad de Madrid
28822,Coslada,Comunidad de Madrid,Comunidad de Madrid
28823,Coslada,Comunidad de Madrid,Comunidad de Madrid
28830,San Fernando de Henares,Comunidad de Madrid,Comunidad de Madrid
28840,Mejorada del Campo,Comunidad de Madrid,Comunidad de Madrid
28850,Torrejón de Ardoz,Comunidad de Madrid,Comunidad de Madrid
28860,Paracuellos de Jarama,Comunidad de Madrid,Comunidad de Madrid
28861,Paracuellos de Jarama,Comunidad de Madrid,Comunidad de Madrid
28862,Paracuellos de Jarama,Comunidad de Madrid,Comunidad de Madrid
28863,Cobeña,Comunidad de Madrid,Comunidad de Madrid
28864,Ajalvir,Comunidad de Madrid,Comunidad de Madrid
28880,Meco,Comunidad de Madrid,Comunidad de Madrid
28890,Loeches,Comunidad de Madrid,Comunidad de Madrid
28891,Velilla de San Antonio,Comunidad de Madrid,Comunidad de Madrid
28901,Getafe,Comunidad de Madrid,Comunidad de Madrid
28902,Getafe,Comunidad de Madrid,Comunidad de Madrid
28903,Getafe,Comunidad de Madrid,Comunidad de Madrid
28904,Getafe,Comunidad de Madrid,Comunidad de Madrid
28905,Getafe,Comunidad de Madrid,Comunidad de Madrid
28906,Getafe,Comunidad de Madrid,Comunidad de Madrid
28907,Getafe,Comunidad de Madrid,Comunidad de Madrid
28909,Getafe,Comunidad de Madrid,Comunidad de Madrid
28911,Leganés,Comunidad de Madrid,Comunidad de Madrid
28912,Leganés,Comunidad de Madrid,Comunidad de Madrid
28913,Leganés,Comunidad de Madrid,Comunidad de Madrid
28914,Leganés,Comunidad de Madrid,Comunidad de Madrid
28915,Leganés,Comunidad de Madrid,Comunidad de Madrid
28916,Leganés,Comunidad de Madrid,Comunidad de Madrid
28917,Leganés,Comunidad de Madrid,Comunidad de Madrid
28918,Leganés,Comunidad de Madrid,Comunidad de Madrid
28919,Leganés,Comunidad de Madrid,Comunidad de Madrid
28921,Alcorcón,Comunidad de Madrid,Comunidad de Madrid
28922,Alcorcón,Comunidad de Madrid,Comunidad de Madrid
28923,Alcorcón,Comunidad de Madrid,Comunidad de Madrid
28924,Alcorcón,Comunidad de Madrid,Comunidad de Madrid
28925,Alcorcón,Comunidad de Madrid,Comunidad de Madrid
28931,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28932,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28933,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28934,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28935,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28936,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28937,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28938,Móstoles,Comunidad de Madrid,Comunidad de Madrid
28939,Arroyomolinos,Comunidad de Madrid,Comunidad de Madrid
28941,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28942,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28943,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28944,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28945,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28946,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28947,Fuenlabrada,Comunidad de Madrid,Comunidad de Madrid
28950,Moraleja de Enmedio,Comunidad de Madrid,Comunidad de Madrid
28970,Humanes de Madrid,Comunidad de Madrid,Comunidad de Madrid
28971,Griñón,Comunidad de Madrid,Comunidad de Madrid
28976,Batres,Comunidad de Madrid,Comunidad de Madrid
28977,Casarrubuelos,Comunidad de Madrid,Comunidad de Madrid
28978,Cubas de la Sagra,Comunidad de Madrid,Comunidad de Madrid
28979,Serranillos del Valle,Comunidad de Madrid,Comunidad de Madrid
28981,Parla,Comunidad de Madrid,Comunidad de Madrid
28982,Parla,Comunidad de Madrid,Comunidad de Madrid
28984,Parla,Comunidad de Madrid,Comunidad de Madrid
28990,Torrejón de Velasco,Comunidad de Madrid,Comunidad de Madrid
28991,Torrejón de la Calzada,Comunidad de Madrid,Comunidad de Madrid
